"year","week","zone","spp","pools_L","pools_G","n_pools","pos_pools_L","pos_pools_G","n_pos_pools"
2015,28,"NW","Tarsalis",12,2,14,0,0,0
2015,28,"SE","Pipiens",12,4,16,0,0,0
2015,28,"SE","Tarsalis",45,1,46,3,0,3
2015,28,"SW","Pipiens",9,1,10,0,0,0
2015,28,"SW","Tarsalis",8,0,8,0,0,0
2015,29,"LV","Pipiens",3,0,3,0,0,0
2015,29,"LV","Tarsalis",26,0,26,1,0,1
2015,29,"NE","Pipiens",10,9,19,0,0,0
2015,29,"NE","Tarsalis",22,1,23,0,0,0
2015,29,"NW","Pipiens",8,2,10,1,0,1
2015,29,"NW","Tarsalis",14,0,14,0,0,0
2015,29,"SE","Pipiens",13,7,20,0,0,0
2015,29,"SE","Tarsalis",40,3,43,0,0,0
2015,29,"SW","Pipiens",6,1,7,0,0,0
2015,29,"SW","Tarsalis",12,0,12,0,0,0
2015,30,"LV","Pipiens",4,0,4,0,0,0
2015,30,"LV","Tarsalis",29,0,29,4,0,4
2015,30,"NE","Pipiens",10,7,17,0,0,0
2015,30,"NE","Tarsalis",39,2,41,1,0,1
2015,30,"NW","Pipiens",9,2,11,0,0,0
2015,30,"NW","Tarsalis",18,1,19,1,0,1
2015,30,"SE","Pipiens",15,8,23,1,2,3
2015,30,"SE","Tarsalis",48,2,50,3,0,3
2015,30,"SW","Pipiens",7,1,8,0,0,0
2015,30,"SW","Tarsalis",11,0,11,0,0,0
2015,31,"LV","Pipiens",5,0,5,0,0,0
2015,31,"LV","Tarsalis",12,0,12,3,0,3
2015,31,"NE","Pipiens",10,11,21,0,0,0
2015,31,"NE","Tarsalis",33,2,35,6,0,6
2015,31,"NW","Pipiens",9,4,13,1,2,3
2015,31,"NW","Tarsalis",15,1,16,0,0,0
2015,31,"SE","Pipiens",14,3,17,1,0,1
2015,31,"SE","Tarsalis",23,1,24,2,0,2
2015,31,"SW","Pipiens",8,1,9,0,1,1
2015,31,"SW","Tarsalis",11,1,12,0,0,0
2015,32,"LV","Pipiens",6,0,6,0,0,0
2015,32,"LV","Tarsalis",8,0,8,0,0,0
2015,32,"NE","Pipiens",10,5,15,1,1,2
2015,32,"NE","Tarsalis",15,1,16,1,0,1
2015,32,"NW","Pipiens",9,4,13,0,0,0
2015,32,"NW","Tarsalis",12,0,12,1,0,1
2015,32,"SE","Pipiens",13,4,17,1,2,3
2015,32,"SE","Tarsalis",16,0,16,0,0,0
2015,32,"SW","Pipiens",3,0,3,0,0,0
2015,32,"SW","Tarsalis",3,0,3,0,0,0
2015,33,"LV","Pipiens",4,0,4,0,0,0
2015,33,"LV","Tarsalis",6,0,6,0,0,0
2015,33,"NE","Pipiens",10,9,19,1,3,4
2015,33,"NE","Tarsalis",10,1,11,0,0,0
2015,33,"NW","Pipiens",5,1,6,0,1,1
2015,33,"NW","Tarsalis",7,0,7,0,0,0
2015,33,"SE","Pipiens",15,8,23,1,5,6
2015,33,"SE","Tarsalis",16,0,16,0,0,0
2015,33,"SW","Pipiens",5,1,6,0,0,0
2015,33,"SW","Tarsalis",10,0,10,0,0,0
2015,34,"LV","Pipiens",6,0,6,0,0,0
2015,34,"LV","Tarsalis",6,0,6,0,0,0
2015,34,"NE","Pipiens",10,5,15,1,2,3
2015,34,"NE","Tarsalis",9,0,9,0,0,0
2015,34,"NW","Pipiens",9,11,20,0,7,7
2015,34,"NW","Tarsalis",9,1,10,0,0,0
2015,34,"SE","Pipiens",16,14,30,1,9,10
2015,34,"SE","Tarsalis",15,2,17,1,0,1
2015,34,"SW","Pipiens",7,2,9,0,2,2
2015,34,"SW","Tarsalis",12,0,12,0,0,0
2015,35,"LV","Pipiens",2,0,2,0,0,0
2015,35,"LV","Tarsalis",7,0,7,2,0,2
2015,35,"NE","Pipiens",9,8,17,1,5,6
2015,35,"NE","Tarsalis",10,0,10,1,0,1
2015,35,"NW","Pipiens",8,4,12,1,3,4
2015,35,"NW","Tarsalis",5,0,5,0,0,0
2015,35,"SE","Pipiens",16,8,24,2,5,7
2015,35,"SE","Tarsalis",15,0,15,2,0,2
2015,35,"SW","Pipiens",6,3,9,0,2,2
2015,35,"SW","Tarsalis",8,0,8,0,0,0
2015,37,"NE","Pipiens",9,4,13,1,0,1
2015,37,"NE","Tarsalis",8,1,9,0,0,0
2015,37,"NW","Pipiens",5,2,7,0,0,0
2015,37,"NW","Tarsalis",6,0,6,0,0,0
2015,37,"SE","Pipiens",11,4,15,0,1,1
2015,37,"SE","Tarsalis",3,0,3,0,0,0
2015,37,"SW","Pipiens",0,1,1,0,0,0
2015,37,"SW","Tarsalis",3,0,3,0,0,0
2016,24,"LV","Pipiens",1,0,1,0,0,0
2016,24,"LV","Tarsalis",6,0,6,0,0,0
2016,24,"NE","Pipiens",4,4,8,0,0,0
2016,24,"NE","Tarsalis",8,1,9,0,0,0
2016,24,"NW","Pipiens",4,1,5,0,0,0
2016,24,"NW","Tarsalis",1,0,1,0,0,0
2016,24,"SE","Pipiens",5,2,7,0,0,0
2016,24,"SE","Tarsalis",8,0,8,0,0,0
2016,24,"SW","Pipiens",2,1,3,0,0,0
2016,24,"SW","Tarsalis",1,0,1,0,0,0
2016,25,"LV","Pipiens",1,0,1,0,0,0
2016,25,"LV","Tarsalis",10,0,10,0,0,0
2016,25,"NE","Pipiens",7,4,11,0,0,0
2016,25,"NE","Tarsalis",8,0,8,0,0,0
2016,25,"NW","Pipiens",5,2,7,0,0,0
2016,25,"NW","Tarsalis",7,1,8,0,0,0
2016,25,"SE","Pipiens",5,3,8,0,0,0
2016,25,"SE","Tarsalis",11,0,11,0,0,0
2016,25,"SW","Pipiens",3,1,4,0,0,0
2016,25,"SW","Tarsalis",4,0,4,0,0,0
2016,26,"LV","Pipiens",1,0,1,0,0,0
2016,26,"LV","Tarsalis",10,0,10,1,0,1
2016,26,"NE","Pipiens",7,5,12,0,0,0
2016,26,"NE","Tarsalis",12,1,13,0,0,0
2016,26,"NW","Pipiens",6,2,8,0,0,0
2016,26,"NW","Tarsalis",9,0,9,0,0,0
2016,26,"SE","Pipiens",8,3,11,0,0,0
2016,26,"SE","Tarsalis",18,1,19,0,0,0
2016,26,"SW","Pipiens",4,1,5,0,0,0
2016,26,"SW","Tarsalis",8,0,8,0,0,0
2016,27,"LV","Pipiens",5,0,5,0,0,0
2016,27,"LV","Tarsalis",7,0,7,1,0,1
2016,27,"NE","Pipiens",7,5,12,0,0,0
2016,27,"NE","Tarsalis",10,0,10,0,0,0
2016,27,"NW","Pipiens",8,4,12,0,0,0
2016,27,"NW","Tarsalis",8,0,8,0,0,0
2016,27,"SE","Pipiens",10,3,13,1,0,1
2016,27,"SE","Tarsalis",18,0,18,1,0,1
2016,27,"SW","Pipiens",2,0,2,0,0,0
2016,27,"SW","Tarsalis",2,0,2,0,0,0
2016,28,"LV","Pipiens",2,0,2,0,0,0
2016,28,"LV","Tarsalis",12,0,12,0,0,0
2016,28,"NE","Pipiens",8,4,12,0,1,1
2016,28,"NE","Tarsalis",18,3,21,0,0,0
2016,28,"NW","Pipiens",8,3,11,0,0,0
2016,28,"NW","Tarsalis",14,0,14,0,0,0
2016,28,"SE","Pipiens",12,4,16,0,0,0
2016,28,"SE","Tarsalis",21,0,21,0,0,0
2016,28,"SW","Pipiens",7,2,9,0,0,0
2016,28,"SW","Tarsalis",8,1,9,0,0,0
2016,29,"LV","Pipiens",5,0,5,0,0,0
2016,29,"LV","Tarsalis",11,0,11,1,0,1
2016,29,"NE","Pipiens",9,6,15,0,1,1
2016,29,"NE","Tarsalis",15,2,17,0,0,0
2016,29,"NW","Pipiens",7,2,9,0,0,0
2016,29,"NW","Tarsalis",14,0,14,1,0,1
2016,29,"SE","Pipiens",11,5,16,0,1,1
2016,29,"SE","Tarsalis",16,0,16,0,0,0
2016,29,"SW","Pipiens",4,10,14,0,0,0
2016,29,"SW","Tarsalis",9,0,9,0,0,0
2016,30,"LV","Pipiens",4,0,4,0,0,0
2016,30,"LV","Tarsalis",14,0,14,2,0,2
2016,30,"NE","Pipiens",8,5,13,0,0,0
2016,30,"NE","Tarsalis",13,0,13,1,0,1
2016,30,"NW","Pipiens",8,6,14,0,0,0
2016,30,"NW","Tarsalis",11,0,11,0,0,0
2016,30,"SE","Pipiens",12,6,18,1,3,4
2016,30,"SE","Tarsalis",22,1,23,5,0,5
2016,30,"SW","Pipiens",6,2,8,0,0,0
2016,30,"SW","Tarsalis",8,0,8,0,0,0
2016,31,"LV","Pipiens",6,0,6,0,0,0
2016,31,"LV","Tarsalis",10,0,10,0,0,0
2016,31,"NE","Pipiens",11,6,17,3,2,5
2016,31,"NE","Tarsalis",12,1,13,0,0,0
2016,31,"NW","Pipiens",8,2,10,0,0,0
2016,31,"NW","Tarsalis",12,0,12,2,0,2
2016,31,"SE","Pipiens",12,6,18,2,4,6
2016,31,"SE","Tarsalis",23,2,25,3,0,3
2016,31,"SW","Pipiens",6,3,9,0,0,0
2016,31,"SW","Tarsalis",9,1,10,3,0,3
2016,32,"LV","Pipiens",3,0,3,1,0,1
2016,32,"LV","Tarsalis",11,0,11,2,0,2
2016,32,"NE","Pipiens",11,4,15,1,2,3
2016,32,"NE","Tarsalis",17,1,18,3,0,3
2016,32,"NW","Pipiens",11,3,14,1,1,2
2016,32,"NW","Tarsalis",10,1,11,2,0,2
2016,32,"SE","Pipiens",11,7,18,1,5,6
2016,32,"SE","Tarsalis",20,2,22,3,0,3
2016,32,"SW","Pipiens",7,3,10,1,1,2
2016,32,"SW","Tarsalis",10,1,11,1,0,1
2016,33,"LV","Pipiens",5,0,5,0,0,0
2016,33,"LV","Tarsalis",9,0,9,2,0,2
2016,33,"NE","Pipiens",14,10,24,1,7,8
2016,33,"NE","Tarsalis",15,3,18,4,0,4
2016,33,"NW","Pipiens",10,2,12,0,1,1
2016,33,"NW","Tarsalis",10,0,10,2,0,2
2016,33,"SE","Pipiens",9,4,13,0,3,3
2016,33,"SE","Tarsalis",17,0,17,4,0,4
2016,33,"SW","Pipiens",5,1,6,1,1,2
2016,33,"SW","Tarsalis",9,0,9,0,0,0
2016,34,"LV","Pipiens",6,5,11,0,3,3
2016,34,"LV","Tarsalis",9,0,9,2,0,2
2016,34,"NE","Pipiens",8,5,13,1,1,2
2016,34,"NE","Tarsalis",6,0,6,0,0,0
2016,34,"NW","Pipiens",6,6,12,0,4,4
2016,34,"NW","Tarsalis",7,0,7,0,0,0
2016,34,"SE","Pipiens",12,4,16,1,2,3
2016,34,"SE","Tarsalis",15,0,15,2,0,2
2016,34,"SW","Pipiens",3,2,5,0,0,0
2016,34,"SW","Tarsalis",8,0,8,0,0,0
2016,35,"LV","Pipiens",2,0,2,0,0,0
2016,35,"LV","Tarsalis",6,0,6,0,0,0
2016,35,"NE","Pipiens",8,4,12,0,2,2
2016,35,"NE","Tarsalis",6,0,6,0,0,0
2016,35,"NW","Pipiens",7,2,9,1,0,1
2016,35,"NW","Tarsalis",7,0,7,0,0,0
2016,35,"SE","Pipiens",8,3,11,1,2,3
2016,35,"SE","Tarsalis",14,0,14,2,0,2
2016,35,"SW","Pipiens",3,1,4,0,0,0
2016,35,"SW","Tarsalis",6,0,6,0,0,0
2016,36,"NE","Pipiens",7,4,11,0,0,0
2016,36,"NE","Tarsalis",8,0,8,0,0,0
2016,36,"NW","Pipiens",6,1,7,0,0,0
2016,36,"NW","Tarsalis",8,0,8,0,0,0
2016,36,"SE","Pipiens",5,2,7,0,0,0
2016,36,"SE","Tarsalis",10,0,10,0,0,0
2016,36,"SW","Pipiens",4,1,5,0,0,0
2016,36,"SW","Tarsalis",6,0,6,0,0,0
2016,37,"NE","Pipiens",6,2,8,0,0,0
2016,37,"NE","Tarsalis",8,0,8,0,0,0
2016,37,"NW","Pipiens",7,2,9,0,1,1
2016,37,"NW","Tarsalis",7,0,7,0,0,0
2016,37,"SE","Pipiens",4,2,6,0,0,0
2016,37,"SE","Tarsalis",9,0,9,0,0,0
2016,37,"SW","Pipiens",3,0,3,0,0,0
2016,37,"SW","Tarsalis",3,0,3,0,0,0
2017,24,"BE","Tarsalis",4,0,4,0,0,0
2017,24,"LV","Pipiens",1,0,1,0,0,0
2017,24,"LV","Tarsalis",5,0,5,0,0,0
2017,24,"NE","Pipiens",2,3,5,0,0,0
2017,24,"NE","Tarsalis",6,0,6,0,0,0
2017,24,"NW","Pipiens",4,0,4,0,0,0
2017,24,"NW","Tarsalis",5,0,5,0,0,0
2017,24,"SE","Pipiens",3,3,6,0,0,0
2017,24,"SE","Tarsalis",9,0,9,0,0,0
2017,24,"SW","Pipiens",1,0,1,0,0,0
2017,24,"SW","Tarsalis",2,0,2,0,0,0
2017,25,"BE","Pipiens",2,0,2,0,0,0
2017,25,"BE","Tarsalis",9,0,9,1,0,1
2017,25,"LV","Pipiens",1,0,1,0,0,0
2017,25,"LV","Tarsalis",7,0,7,0,0,0
2017,25,"NE","Pipiens",2,3,5,0,0,0
2017,25,"NE","Tarsalis",9,0,9,0,0,0
2017,25,"NW","Pipiens",2,2,4,0,0,0
2017,25,"NW","Tarsalis",5,0,5,0,0,0
2017,25,"SE","Pipiens",4,3,7,0,0,0
2017,25,"SE","Tarsalis",13,0,13,0,0,0
2017,25,"SW","Pipiens",2,1,3,0,0,0
2017,25,"SW","Tarsalis",4,0,4,0,0,0
2017,26,"BE","Tarsalis",5,0,5,0,0,0
2017,26,"LV","Pipiens",3,0,3,0,0,0
2017,26,"LV","Tarsalis",9,0,9,0,0,0
2017,26,"NE","Pipiens",5,3,8,0,0,0
2017,26,"NE","Tarsalis",9,1,10,0,0,0
2017,26,"NW","Pipiens",5,2,7,0,0,0
2017,26,"NW","Tarsalis",8,0,8,0,0,0
2017,26,"SE","Pipiens",6,3,9,0,0,0
2017,26,"SE","Tarsalis",22,1,23,0,0,0
2017,26,"SW","Pipiens",2,1,3,0,0,0
2017,26,"SW","Tarsalis",7,0,7,0,0,0
2017,27,"BE","Pipiens",3,0,3,1,0,1
2017,27,"BE","Tarsalis",7,0,7,0,0,0
2017,27,"LV","Pipiens",2,0,2,0,0,0
2017,27,"LV","Tarsalis",9,0,9,0,0,0
2017,27,"NE","Pipiens",7,4,11,0,0,0
2017,27,"NE","Tarsalis",12,1,13,0,0,0
2017,27,"NW","Pipiens",6,4,10,0,0,0
2017,27,"NW","Tarsalis",6,0,6,0,0,0
2017,27,"SE","Pipiens",4,5,9,0,0,0
2017,27,"SE","Tarsalis",17,0,17,0,0,0
2017,27,"SW","Pipiens",2,1,3,0,0,0
2017,27,"SW","Tarsalis",5,0,5,0,0,0
2017,28,"BE","Pipiens",1,0,1,0,0,0
2017,28,"BE","Tarsalis",13,0,13,3,0,3
2017,28,"LV","Pipiens",1,0,1,0,0,0
2017,28,"LV","Tarsalis",11,0,11,0,0,0
2017,28,"NE","Pipiens",3,8,11,0,1,1
2017,28,"NE","Tarsalis",12,1,13,0,0,0
2017,28,"NW","Pipiens",4,2,6,0,0,0
2017,28,"NW","Tarsalis",7,0,7,0,0,0
2017,28,"SE","Pipiens",9,7,16,0,0,0
2017,28,"SE","Tarsalis",77,0,77,3,0,3
2017,28,"SW","Pipiens",4,1,5,0,0,0
2017,28,"SW","Tarsalis",7,0,7,0,0,0
2017,29,"BE","Pipiens",2,0,2,1,0,1
2017,29,"BE","Tarsalis",11,0,11,1,0,1
2017,29,"LV","Pipiens",4,0,4,0,0,0
2017,29,"LV","Tarsalis",15,0,15,2,0,2
2017,29,"NE","Pipiens",7,8,15,0,1,1
2017,29,"NE","Tarsalis",24,1,25,0,0,0
2017,29,"NW","Pipiens",5,3,8,0,1,1
2017,29,"NW","Tarsalis",9,1,10,0,0,0
2017,29,"SE","Pipiens",6,7,13,0,0,0
2017,29,"SE","Tarsalis",40,2,42,2,0,2
2017,29,"SW","Pipiens",2,3,5,0,0,0
2017,29,"SW","Tarsalis",6,0,6,0,0,0
2017,30,"BE","Pipiens",1,0,1,0,0,0
2017,30,"BE","Tarsalis",4,0,4,0,0,0
2017,30,"LV","Pipiens",3,0,3,0,0,0
2017,30,"LV","Tarsalis",25,0,25,1,0,1
2017,30,"NE","Pipiens",5,14,19,0,1,1
2017,30,"NE","Tarsalis",16,0,16,2,0,2
2017,30,"NW","Pipiens",5,4,9,0,0,0
2017,30,"NW","Tarsalis",13,0,13,1,0,1
2017,30,"SE","Pipiens",6,5,11,0,1,1
2017,30,"SE","Tarsalis",30,0,30,1,0,1
2017,30,"SW","Pipiens",6,2,8,0,0,0
2017,30,"SW","Tarsalis",10,0,10,0,0,0
2017,31,"BE","Pipiens",2,0,2,0,0,0
2017,31,"BE","Tarsalis",5,0,5,0,0,0
2017,31,"LV","Pipiens",4,0,4,0,0,0
2017,31,"LV","Tarsalis",12,0,12,0,0,0
2017,31,"NE","Pipiens",8,6,14,0,1,1
2017,31,"NE","Tarsalis",11,1,12,1,0,1
2017,31,"NW","Pipiens",6,4,10,0,0,0
2017,31,"NW","Tarsalis",10,1,11,0,0,0
2017,31,"SE","Pipiens",7,12,19,1,6,7
2017,31,"SE","Tarsalis",25,0,25,3,0,3
2017,31,"SW","Pipiens",4,2,6,1,0,1
2017,31,"SW","Tarsalis",9,0,9,1,0,1
2017,32,"BE","Pipiens",2,0,2,0,0,0
2017,32,"BE","Tarsalis",4,0,4,0,0,0
2017,32,"LV","Pipiens",1,0,1,0,0,0
2017,32,"LV","Tarsalis",7,0,7,0,0,0
2017,32,"NE","Pipiens",8,4,12,1,0,1
2017,32,"NE","Tarsalis",9,0,9,0,0,0
2017,32,"NW","Pipiens",5,2,7,0,0,0
2017,32,"NW","Tarsalis",7,0,7,0,0,0
2017,32,"SE","Pipiens",12,3,15,0,1,1
2017,32,"SE","Tarsalis",17,0,17,1,0,1
2017,32,"SW","Pipiens",6,1,7,0,0,0
2017,32,"SW","Tarsalis",6,0,6,1,0,1
2017,33,"BE","Pipiens",1,0,1,0,0,0
2017,33,"BE","Tarsalis",4,0,4,0,0,0
2017,33,"LV","Pipiens",5,0,5,0,0,0
2017,33,"LV","Tarsalis",7,0,7,1,0,1
2017,33,"NE","Pipiens",7,5,12,0,1,1
2017,33,"NE","Tarsalis",10,2,12,1,0,1
2017,33,"NW","Pipiens",6,1,7,0,0,0
2017,33,"NW","Tarsalis",9,0,9,0,0,0
2017,33,"SE","Pipiens",6,3,9,0,2,2
2017,33,"SE","Tarsalis",12,0,12,1,0,1
2017,33,"SW","Pipiens",3,1,4,0,0,0
2017,33,"SW","Tarsalis",6,0,6,0,0,0
2017,34,"BE","Pipiens",3,0,3,0,0,0
2017,34,"BE","Tarsalis",4,0,4,3,0,3
2017,34,"LV","Pipiens",3,0,3,0,0,0
2017,34,"LV","Tarsalis",7,0,7,0,0,0
2017,34,"NE","Pipiens",5,4,9,0,0,0
2017,34,"NE","Tarsalis",10,0,10,0,0,0
2017,34,"NW","Pipiens",5,2,7,0,0,0
2017,34,"NW","Tarsalis",9,0,9,1,0,1
2017,34,"SE","Pipiens",10,5,15,0,1,1
2017,34,"SE","Tarsalis",15,0,15,1,0,1
2017,34,"SW","Pipiens",2,1,3,0,0,0
2017,34,"SW","Tarsalis",7,0,7,0,0,0
2017,35,"BE","Tarsalis",2,0,2,0,0,0
2017,35,"LV","Pipiens",3,0,3,0,0,0
2017,35,"LV","Tarsalis",6,0,6,0,0,0
2017,35,"NE","Pipiens",6,5,11,0,0,0
2017,35,"NE","Tarsalis",10,1,11,0,0,0
2017,35,"NW","Pipiens",4,2,6,0,0,0
2017,35,"NW","Tarsalis",6,0,6,0,0,0
2017,35,"SE","Pipiens",7,3,10,0,1,1
2017,35,"SE","Tarsalis",13,0,13,0,0,0
2017,35,"SW","Pipiens",2,1,3,0,0,0
2017,35,"SW","Tarsalis",6,0,6,0,0,0
2017,36,"LV","Pipiens",1,0,1,0,0,0
2017,36,"LV","Tarsalis",4,0,4,0,0,0
2017,36,"NE","Pipiens",6,4,10,0,0,0
2017,36,"NE","Tarsalis",5,0,5,0,0,0
2017,36,"NW","Pipiens",2,1,3,0,0,0
2017,36,"NW","Tarsalis",4,0,4,0,0,0
2017,36,"SE","Pipiens",7,3,10,0,1,1
2017,36,"SE","Tarsalis",6,0,6,0,0,0
2017,36,"SW","Pipiens",3,0,3,0,0,0
2017,36,"SW","Tarsalis",4,0,4,0,0,0
2018,24,"BE","Tarsalis",4,0,4,0,0,0
2018,24,"LV","Tarsalis",6,0,6,0,0,0
2018,24,"NE","Pipiens",0,2,2,0,0,0
2018,24,"NE","Tarsalis",9,0,9,0,0,0
2018,24,"NW","Pipiens",6,1,7,0,0,0
2018,24,"NW","Tarsalis",8,0,8,0,0,0
2018,24,"SE","Pipiens",6,4,10,0,0,0
2018,24,"SE","Tarsalis",16,0,16,0,0,0
2018,24,"SW","Pipiens",2,1,3,0,0,0
2018,24,"SW","Tarsalis",6,0,6,0,0,0
2018,25,"BE","Pipiens",1,0,1,0,0,0
2018,25,"BE","Tarsalis",4,0,4,0,0,0
2018,25,"LV","Pipiens",2,0,2,0,0,0
2018,25,"LV","Tarsalis",4,0,4,0,0,0
2018,25,"NE","Pipiens",4,3,7,0,0,0
2018,25,"NE","Tarsalis",8,0,8,0,0,0
2018,25,"NW","Pipiens",2,2,4,0,0,0
2018,25,"NW","Tarsalis",3,0,3,0,0,0
2018,25,"SE","Pipiens",4,3,7,0,0,0
2018,25,"SE","Tarsalis",14,0,14,0,0,0
2018,25,"SW","Pipiens",2,0,2,0,0,0
2018,25,"SW","Tarsalis",7,0,7,0,0,0
2018,26,"BE","Pipiens",1,0,1,0,0,0
2018,26,"BE","Tarsalis",6,0,6,0,0,0
2018,26,"LV","Pipiens",2,0,2,0,0,0
2018,26,"LV","Tarsalis",6,0,6,0,0,0
2018,26,"NE","Pipiens",7,2,9,0,0,0
2018,26,"NE","Tarsalis",11,0,11,0,0,0
2018,26,"NW","Pipiens",4,2,6,0,0,0
2018,26,"NW","Tarsalis",9,0,9,0,0,0
2018,26,"SE","Pipiens",5,2,7,0,0,0
2018,26,"SE","Tarsalis",20,1,21,0,0,0
2018,26,"SW","Pipiens",2,1,3,0,0,0
2018,26,"SW","Tarsalis",12,0,12,0,0,0
2018,27,"BE","Pipiens",1,0,1,0,0,0
2018,27,"BE","Tarsalis",9,0,9,0,0,0
2018,27,"LV","Tarsalis",10,0,10,0,0,0
2018,27,"NE","Pipiens",2,5,7,0,0,0
2018,27,"NE","Tarsalis",19,0,19,0,0,0
2018,27,"NW","Pipiens",4,3,7,0,0,0
2018,27,"NW","Tarsalis",10,0,10,0,0,0
2018,27,"SE","Pipiens",4,7,11,0,0,0
2018,27,"SE","Tarsalis",25,0,25,0,0,0
2018,27,"SW","Pipiens",0,2,2,0,0,0
2018,27,"SW","Tarsalis",9,0,9,0,0,0
2018,28,"BE","Pipiens",1,0,1,0,0,0
2018,28,"BE","Tarsalis",21,0,21,1,0,1
2018,28,"LV","Pipiens",1,0,1,0,0,0
2018,28,"LV","Tarsalis",17,0,17,0,0,0
2018,28,"NE","Pipiens",4,3,7,0,0,0
2018,28,"NE","Tarsalis",20,0,20,0,0,0
2018,28,"NW","Pipiens",3,5,8,0,0,0
2018,28,"NW","Tarsalis",13,0,13,0,0,0
2018,28,"SE","Pipiens",4,9,13,0,0,0
2018,28,"SE","Tarsalis",30,0,30,0,0,0
2018,28,"SW","Pipiens",1,2,3,0,1,1
2018,28,"SW","Tarsalis",7,0,7,0,0,0
2018,29,"BE","Pipiens",1,0,1,0,0,0
2018,29,"BE","Tarsalis",6,0,6,0,0,0
2018,29,"LV","Pipiens",1,0,1,0,0,0
2018,29,"LV","Tarsalis",7,0,7,1,0,1
2018,29,"NE","Pipiens",5,3,8,0,0,0
2018,29,"NE","Tarsalis",8,0,8,0,0,0
2018,29,"NW","Pipiens",3,2,5,0,0,0
2018,29,"NW","Tarsalis",11,0,11,0,0,0
2018,29,"SE","Pipiens",2,15,17,0,1,1
2018,29,"SE","Tarsalis",20,0,20,0,0,0
2018,29,"SW","Pipiens",1,1,2,0,0,0
2018,29,"SW","Tarsalis",8,0,8,1,0,1
2018,30,"BE","Pipiens",1,0,1,0,0,0
2018,30,"BE","Tarsalis",7,0,7,1,0,1
2018,30,"LV","Tarsalis",6,0,6,1,0,1
2018,30,"NE","Pipiens",8,4,12,0,0,0
2018,30,"NE","Tarsalis",15,0,15,0,0,0
2018,30,"NW","Pipiens",4,11,15,0,3,3
2018,30,"NW","Tarsalis",12,0,12,0,0,0
2018,30,"SE","Pipiens",3,6,9,0,0,0
2018,30,"SE","Tarsalis",13,0,13,1,0,1
2018,30,"SW","Pipiens",0,2,2,0,0,0
2018,30,"SW","Tarsalis",9,0,9,0,0,0
2018,31,"BE","Pipiens",2,0,2,0,0,0
2018,31,"BE","Tarsalis",8,0,8,1,0,1
